Day,Time,Subject,Batch,Room no.
TUESDAY,1:00,INTER  DT,3,5
TUESDAY,2:15,INTER ADV AC,4,2
TUESDAY,3:30,INTER LAW,4,3
TUESDAY,5:45,FINAL FINANCIAL REPORTING,5,3
TUESDAY,5:45,FINAL IDT,5,7
TUESDAY,5:45,FINAL AUDIT,5,6
TUESDAY,5:45,CMA,5,4
WEDNESDAY,6:30,FINANCIAL REPORTING,1,"1,3"
WEDNESDAY,6:30,INT ADV AC,1,2
WEDNESDAY,6:30,FINAL IDT GST,1,4
WEDNESDAY,6:30,FINAL DT,1,5
WEDNESDAY,6:30,FINAL SFM,1,6
WEDNESDAY,6:30,FINAL DT (OLD),1,8
WEDNESDAY,9:45,INT AC,2,2
WEDNESDAY,10:00,FOUNDATION,2,3
WEDNESDAY,9:40,EIS/SM,2,6
WEDNESDAY,10:00,IPCC ADV AC,2,4
WEDNESDAY,11:50,INTER FM,3,6
WEDNESDAY,1:00,FOUNDATION,3,3
WEDNESDAY,1:00,INTER  DT,3,5
WEDNESDAY,2:15,INTER ADV AC,4,2
WEDNESDAY,3:30,INTER LAW,4,3
WEDNESDAY,5:45,FINAL FINANCIAL REPORTING,5,3
WEDNESDAY,5:45,FINAL IDT,5,7
WEDNESDAY,5:45,FINAL AUDIT,5,6
WEDNESDAY,5:45,CMA,5,4
